"","x"
"V29",6.11011295388565
"V49",8.87857571651971
"V65",9.54375598539213
"V106",12.4386213098745
"V129",10.0375942217309
"V154",7.29120470767919
"V242",16.5106670992954
"V282",6.84157956254056
"V319",7.74227930243787
"V337",9.78800284458386
"V339",14.7387624337999
"V379",8.53067764549742
"V434",6.83552783598707
"V443",11.6100450784907
"V452",6.18863118310886
"V454",6.93072869247601
"V456",3.27317023481754
"V473",10.1744477873178
"V476",17.3264289962878
"V494",6.7017282297356
